"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2026";"1400";"29,7";"29,9";"28,7";"75,0";"82,0";"74,0";"24,9";"25,9";"24,5";"1001,6";"1001,7";"1001,6";"3,3";"";"7,0";"2529,10";"0,0"
"01/07/2026";"1500";"30,1";"30,7";"29,2";"74,0";"78,0";"70,0";"24,9";"25,3";"24,3";"1001,3";"1001,7";"1001,3";"1,4";"";"6,3";"2365,90";"0,0"
"01/07/2026";"1600";"31,0";"31,1";"30,0";"65,0";"75,0";"64,0";"23,6";"25,4";"23,2";"1000,4";"1001,3";"1000,4";"3,1";"";"7,8";"2687,30";"0,0"
"01/07/2026";"1700";"31,3";"32,0";"30,9";"67,0";"71,0";"60,0";"24,4";"25,2";"23,0";"999,7";"1000,4";"999,7";"1,1";"";"7,8";"2462,20";"0,0"
"01/07/2026";"1800";"31,8";"32,3";"31,1";"63,0";"70,0";"60,0";"23,9";"24,9";"23,2";"998,9";"999,7";"998,9";"2,2";"";"9,0";"2601,70";"0,0"
"01/07/2026";"1900";"31,9";"32,5";"31,4";"65,0";"68,0";"59,0";"24,6";"24,9";"23,2";"998,5";"998,9";"998,5";"1,5";"";"6,1";"1886,90";"0,0"
"01/07/2026";"2000";"31,3";"32,2";"31,2";"68,0";"68,0";"62,0";"24,6";"25,2";"23,6";"998,6";"998,7";"998,5";"1,0";"";"5,0";"1046,60";"0,0"
"01/07/2026";"2100";"29,0";"31,3";"29,0";"80,0";"80,0";"66,0";"25,3";"25,3";"24,0";"998,7";"998,7";"998,4";"0,2";"";"4,1";"352,60";"0,0"
"01/07/2026";"2200";"27,4";"29,0";"27,4";"87,0";"88,0";"80,0";"25,2";"25,4";"25,2";"999,4";"999,4";"998,7";"0,0";"";"1,7";"6,10";"0,0"
"01/07/2026";"2300";"26,8";"27,4";"26,8";"89,0";"89,0";"87,0";"24,9";"25,2";"24,7";"1000,0";"1000,0";"999,4";"0,0";"";"1,3";"";"0,0"
"02/07/2026";"0000";"25,9";"26,8";"25,9";"97,0";"97,0";"89,0";"25,3";"25,6";"25,0";"1000,8";"1000,8";"1000,0";"0,0";"";"1,3";"";"0,0"
"02/07/2026";"0100";"25,2";"25,9";"25,2";"98,0";"100,0";"96,0";"24,9";"25,3";"24,9";"1001,3";"1001,4";"1000,8";"0,2";"";"1,8";"";"0,0"
"02/07/2026";"0200";"24,6";"25,2";"24,6";"98,0";"100,0";"97,0";"24,4";"24,8";"24,4";"1001,6";"1001,7";"1001,3";"0,5";"";"2,4";"";"0,0"
"02/07/2026";"0300";"24,5";"24,7";"24,5";"97,0";"98,0";"94,0";"24,0";"24,3";"23,6";"1001,7";"1001,7";"1001,6";"0,2";"";"1,8";"";"0,0"
"02/07/2026";"0400";"23,8";"24,5";"23,8";"100,0";"100,0";"97,0";"23,8";"24,0";"23,8";"1001,2";"1001,7";"1001,2";"0,0";"";"1,5";"";"0,0"
"02/07/2026";"0500";"23,5";"23,8";"23,5";"100,0";"100,0";"100,0";"23,5";"23,8";"23,5";"1000,6";"1001,2";"1000,6";"0,0";"";"0,8";"";"0,0"
"02/07/2026";"0600";"23,1";"23,5";"23,0";"100,0";"100,0";"100,0";"23,1";"23,5";"23,0";"1000,0";"1000,6";"1000,0";"0,0";"";"0,0";"";"0,0"
"02/07/2026";"0700";"22,8";"23,1";"22,8";"100,0";"100,0";"100,0";"22,8";"23,1";"22,8";"999,7";"1000,0";"999,7";"0,0";"";"0,0";"";"0,0"
